	session	label	mean_score_pc	mean_score_warriner	median_score_pc	median_score_warriner	max_score_pc	max_score_warriner	min_score_pc	min_score_warriner
0	neg	1	2.117208655785582	3.8559999999999994	2.034134966661787	4.105	4.314775126713813	4.95	0.13451130194660302	2.05
1	neg	2	1.895142287833108	3.9899999999999993	1.8193858772024483	4.38	4.537930167489568	4.81	-0.14866519221167077	2.29
2	neg	3	2.2270469607313292	3.8064999999999998	2.2528265548216417	3.71	4.2618443246155895	4.95	-0.3331872788781821	2.11
3	neg	4	2.286948763143746	3.6595000000000004	2.742989764959961	3.545	4.535584026985902	4.95	-0.3663992490442602	2.53
4	neg	5	2.410485267982678	3.5465000000000004	2.4575658826019167	3.6	4.735833249102136	4.95	0.18282361319895718	2.02
5	neg	6	2.355658214646599	3.4385	2.1334883378594265	3.315	4.673386290788297	4.75	0.3271241198863318	1.94
6	neu	1	-0.4484568848655882	5.466499999999999	-0.3263306499628053	5.42	0.3759356543037889	5.89	-1.3575770021145472	5.05
7	neu	2	-0.05734143359719461	5.5255	-0.03554166918225664	5.525	0.650019808676411	5.97	-0.8400509032218062	5.03
8	neu	3	-0.2731688003262052	5.617000000000002	-0.03235576010582564	5.665	0.6016604903777263	5.95	-1.7878104403788575	5.1
9	neu	4	-0.22780831937211107	5.657000000000001	-0.017360601019921623	5.734999999999999	0.6669259665908855	5.95	-2.5470438847613415	5.09
10	neu	5	-0.29376251159896394	5.5765	-0.12511197235132013	5.585	0.5156614996478043	5.95	-1.4097678477610591	5.11
11	neu	6	-0.2562565927347367	5.5435	-0.2521934372806229	5.5649999999999995	0.6345811289687322	5.95	-1.1818642926883074	5.05
12	pos	1	-1.962678988864252	7.053500000000001	-1.8869729407416536	7.025	-1.0543324261381863	8.47	-3.2613064969771033	6.14
13	pos	2	-1.882620592649367	7.027000000000001	-1.7778183497734927	6.93	-1.0752281295040744	8.53	-3.1565376907491283	6.17
14	pos	3	-1.7614593543956527	6.959500000000001	-1.7520407135323062	7.0	-1.0841943171680317	8.21	-3.230607919269787	6.26
15	pos	4	-1.8895049538363895	6.7595	-1.7634290041066252	6.695	-1.1741643655496399	7.75	-3.0311112754680245	6.15
16	pos	5	-1.8082340622498296	7.007000000000001	-1.7156880694654237	7.05	-1.1429809241505904	8.0	-2.9544920916265727	6.05
17	pos	6	-1.748300922668736	6.861500000000001	-1.6229198876942408	6.77	-1.0219663684796234	7.63	-3.088901995294943	6.21
